,link,metro,price_meter,index,desc,price,address,pub_datetime
1406,https://www.cian.ru/rent/flat/222279921/,None,Комм.платеживключены(безсчётчиков),1405,"1-комн. кв., 35,2 м², 2/12 этаж",22000/мес.,"Москва, ЗелАО, р-н Старое Крюково, Зеленоград, мкр. 8-й, к854",2020-03-12 11:36:00
1196,https://www.cian.ru/rent/flat/227510282/,Севастопольская,Комм.платеживключены(безсчётчиков),1195,"1-комн. кв., 35 м², 1/5 этаж",27000/мес.,"Москва, ЮЗАО, р-н Зюзино, м. Севастопольская, Керченская улица, 6К2",2020-03-12 11:52:00
1431,https://www.cian.ru/rent/flat/224520379/,Речной вокзал,Комм.платеживключены(безсчётчиков),1430,"1-комн. кв., 38 м², 8/9 этаж",23000/мес.,"Москва, ЗелАО, р-н Матушкино, м. Речной вокзал, Зеленоград, мкр. 2-й, к200Б",2020-03-12 11:56:00
1195,https://www.cian.ru/rent/flat/227246191/,Коммунарка,Комм.платеживключены(безсчётчиков),1194,"1-комн. кв., 18 м², 3/15 этаж",27000/мес.,"Москва, НАО (Новомосковский), м. Коммунарка, Сосенское поселение, улица Василия Ощепкова, 2",2020-03-12 12:01:00
1205,https://www.cian.ru/rent/flat/226796351/,Жулебино,Комм.платеживключены(безсчётчиков),1204,"1-комн. кв., 37 м², 7/10 этаж",28000/мес.,"Москва, ЮВАО, р-н Выхино-Жулебино, м. Жулебино, Жулебинский бульвар, 27",2020-03-12 12:02:00
1111,https://www.cian.ru/rent/flat/215636765/,Цветной бульвар,Комм.платеживключены(безсчётчиков),1110,"1-комн. кв., 32 м², 10/12 этаж",70000/мес.,"Москва, ЦАО, р-н Мещанский, м. Цветной бульвар, Троицкая улица, 10С1",2020-03-12 12:39:00
1235,https://www.cian.ru/rent/flat/227628066/,Братиславская,Комм.платеживключены(безсчётчиков),1234,"1-комн. кв., 40 м², 4/14 этаж",30000/мес.,"Москва, ЮВАО, р-н Марьино, м. Братиславская, Новомарьинская улица, 11К1",2020-03-12 12:59:00
1329,https://www.cian.ru/rent/flat/224235606/,Академическая,Комм.платеживключены(безсчётчиков),1328,"1-комн. кв., 40 м², 2/14 этаж",40000/мес.,"Москва, ЮЗАО, р-н Гагаринский, м. Академическая, улица Вавилова, 44К4",2020-03-12 13:02:00
1430,https://www.cian.ru/rent/flat/186764104/,Пятницкое шоссе,Комм.платеживключены(безсчётчиков),1429,"1-комн. кв., 39 м², 12/17 этаж",23000/мес.,"Москва, ЗелАО, р-н Крюково, м. Пятницкое шоссе, Зеленоград, мкр. 15-й, к1506",2020-03-12 13:14:00
1362,https://www.cian.ru/rent/flat/190060492/,Спортивная,Комм.платеживключены(безсчётчиков),1361,"1-комн. кв., 34 м², 2/12 этаж",50000/мес.,"Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 25",2020-03-12 13:39:00
